"idtram","nombre","descripcion","requisitos","estatus","tipo","prioridad","nivel","costo","visitas","frecuencia","tiemporesp","vigencia","conteo_etapas","conteo_requisitos"
702,"Obtención del Registro como Generador de Residuos de Manejo Especial.","El Registro como Generador de Residuos de Manejo Especial, en conformidad con el artículo 156 de la Ley para la Protección al Ambiente del Estado de Hidalgo, tiene el propósito de regular a las personas físicas y morales que posean algún establecimiento industrial, comercial y de servicio que genere residuos de manejo especial provenientes de las actividades propias para la obtención de un producto, bien o servicio, con el fin de controlar la generación y disposición final de los mismos.\n\nCon fundamento en la NOM-161-SEMARNAT-2011, se consideran residuos de manejo especial aquellos generados en los procesos industriales y de servicio como subproductos no deseados o como producto fuera de especificación, así como aquellos generados en el consumo, operación y mantenimiento de las demás áreas que forman parte de las instalaciones industriales, comerciales y de servicios, como oficinas, comedores, sanitarios y mantenimiento, los cuales por sus características se consideran como Residuos Sólidos Urbanos, pero que por sus volúmenes de generación superiores a 10 toneladas por año o su equivalente en otras unidades, se convierten en residuos de manejo especial.\n","1.	Oficio dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo, en el cual solicite la Obtención del Registro como Generador de Residuos de Manejo Especial. (Debe señalar domicilio para oír y recibir notificaciones en la ciudad de Pachuca de Soto, de acuerdo con lo que establecen los artículos 3 y 38 de la Ley Estatal de Procedimiento Administrativo para el Estado de Hidalgo).\n2.	Formato de manifiesto como generador de residuos de manejo especial debidamente requisitado (un formato por cada residuo generado en el proceso industrial y/o servicio). Manifiesto como generador.\n3.	Descripción de las actividades que se llevan a cabo en los procesos productivos y/o de servicio y diagrama de flujo del proceso industrial y/o servicio, indicando la etapa donde se genere cada residuo de manejo especial. \n4.	Anexo fotográfico a color del almacén temporal de residuos de manejo especial.\n5.	Copia simple del contrato con un transportista autorizado por esta Secretaría para la Recolección, Transporte y Disposición Final de los Residuos de Manejo Especial.\n6.	Copia cotejada de credencial de elector en caso de ser persona física.\n7.	Copia certificada o cotejada de la constitutiva de la empresa para persona moral. \n8.	Copia cotejada del poder notarial del representante legal de la empresa.\n9.	Copia cotejada de la posesión legal del predio.\nEn caso de generar lodos y biosólidos anexar:\n1. Análisis CRETI por la NOM-052-SEMARNAT-2005 (para lodos y/o biosólidos)) \n2. Análisis por NOM-004-SEMARNAT-2002 (para lodos y/o biosólidos) .\nNota:  El análisis deberá ser realizado por un laboratorio acreditado ante la Entidad Mexicana de Acreditación A.C., con un muestreo con antigüedad no mayor a seis meses a la fecha de inicio del trámite.\n10.	Realizar el pago de derechos.\n","Publicado","Trámite","Alta","Informativo",113.14,5686,"5","30 días hábiles (ver observaciones)","PERMANENTE HASTA DARSE DE BAJA. (cierre definitivo, cambio de razón social y cambio de domicilio).",7,11
706,"Admisión UTVM","Trámite que permite a las personas interesadas en estudiar en la Universidad Tecnológica del Valle del Mezquital, obtener su ficha de ingreso para presentar la evaluación diagnóstica.","1.- CURP.\n2.- Cubrir pago de derechos.","Publicado","Trámite","Alta","Transaccional",527,670,"Indefinido","1 día hábil","4 meses",4,2
732,"Solicitud de Prórroga y/o Ampliación de Verificación Vehicular ","Otorgar 60 días naturales al ciudadano, en caso de robo, siniestro o falla mayor en la operación del vehículo  o 10 días naturales  en caso de obtener un rechazo dentro de su periodo, o en su caso de requerir una ampliación de prórroga se debe de solicitar, la cual sería de 60 días naturales. \n"," ~ Oficio de solicitud de prórroga de verificación                                                                                                                             ~ Copia simple de tarjeta de circulación                                                                                                                                                         ~Copia simple de certificado de verificación vehicular al corriente\n~  En caso de robo del vehiculo o siniestro entregar la documentación comprobatoria en copia (carpeta de investigación, reporte de robo, acta ministerial de robo y/o acta de hecho de tránsito terrestre, reporte de siniestro por la aseguradora y otros documentos probatorios).\n","Publicado","Trámite","Alta","Informativo",0,7192,"","1 días hábiles","10 a 60 días, dependiendo el motivo de la prórroga",5,4
749,"Renovación de Autorización de Centros de Verificación Vehicular ","Es la factibilidad técnica, legal y administrativa en la legislación ambiental y lineamientos para el Funcionamiento de la Red Estatal de Centros de Verificación Vehicular, para la renovación de autorización de  los centros de verificación vehicular ","1.- Dirigir solicitud al titular de esta dependencia con 30 días naturales previos al vencimiento de la autorización actual.\n2.- Anexar expediente integrado de acuerdo a lo señalado en el Titulo segundo Capitulo II ""De la renovación de autorizaciones"" , numeral Nueve de los Lineamientos Normativos para el Funcionamiento de la Red Estatal de Centros de Verificación Vehicular o Unidades de Verificación Vehicular para el año 2021, primer semestre.\n","Publicado","Trámite","Alta","Transaccional",11642.62,503,"","60 días.","3 AÑOS",1,0
750,"Autorización de cambio de domicilio del Centro de Verificación Vehicular Fijo","Es la factibilidad técnica, legal y administrativa soportada en la legislación ambiental y Lineamientos para el Funcionamiento de la Red Estatal de Centros de Verificación Vehicular para el año 2025, primer semestre,  para la autorización de cambio de domicilio de los Centros de Verificación Vehicular fijos en otro lugar, precisando que deberá ser dentro del mismo municipio en el que se encuentre autorizado su operación.","1.	Solicitud firmada por el Titular o Representante Legal según sea el caso.\n2.	Croquis de ubicación del predio seleccionado, donde se establezca de manera específica la distancia con respecto al Centro de Verificación Vehicular o la Unidad de Verificación Vehicular más cercano, debiendo ser no menor a dos kilómetros de distancia. Las anteriores autorizaciones otorgadas y operando se respetarán aun teniendo menos kilómetros de distancia la una de la otra.\n3.	Plano arquitectónico, en el que se refieran las áreas que integrarán el Centro de Verificación Vehicular o la Unidad de Verificación Vehicular, especificando medidas del terreno y superficie total, la cual no podrá ser menor a 500 metros cuadrados, para albergar las líneas de verificación que previamente han sido autorizadas por esta Secretaría.\n\nPosterior al estudio de su documentación deberá cumplir con lo siguiente:\n1.	Aprobar la visita técnica por parte del personal adscrito a la Dirección de Emisiones Vehiculares.\n2.	Apegarse a lo establecido en los numerales, 5, 7 y 20 de los Lineamientos Normativos para el Funcionamiento de la Red Estatal de Centros de Verificación Vehicular o Unidades de Verificación Vehicular para el año 2021, primer semestre. ","Publicado","Trámite","Alta","Transaccional",9718.22,410,"","60 días","CONSERVA LA VIGENCIA DE LA AUTORIZACIÓN ORIGINAL",5,5
752,"Reposición de certificado de verificación vehicular","En caso de robo o extravío del certificado original anterior, podrá solicitar a la Secretaría de Medio Ambiente y Recursos Naturales de Hidalgo, la reposición de su certificado de verificación vehicular.\n","1. Tarjeta de circulación.\n2. Fotografía del ultimo holograma de verificación\n","Publicado","Trámite","Alta","Informativo",64.05,4369,"5","1 día hábil","NO REBASAR EL SEMESTRE EN CURSO.",4,2
780,"Obtención de la Autorización de Impacto Ambiental","De conformidad con el artículo 36 y 37 de la Ley para la Protección al Ambiente del Estado de Hidalgo, la evaluación de impacto ambiental es el procedimiento a través del cual la Secretaría evalúa y en su caso, establece las condiciones a que se sujetará la realización de las obras y actividades que realice el sector público o privado, con la finalidad de prevenir, evitar o reducir el desequilibrio ecológico o que rebasen los límites y condiciones establecidas en las disposiciones aplicables para proteger el ambiente.\n\nDe conformidad con el artículo 38 para obtener la Autorización de Impacto Ambiental, los interesados deberán presentar a la Secretaría un Informe Preventivo o una Manifestación de Impacto ambiental \n\nDe conformidad con el artículo 39 de la Ley para la Protección al Ambiente del Estado de Hidalgo, requerirá la presentación de un Informe Preventivo, cuando:\n\nI. Existan normas técnicas ecológicas estatales u otras disposiciones que regulen las emisiones, las descargas, generación o disposición, el aprovechamiento de recursos naturales y, en general, todos los impactos ambientales relevantes que puedan producir las obras o actividades…”\nII. Las obras o actividades de que se trate estén expresamente previstas en los planes de desarrollo urbano o programas de ordenamiento ecológico territorial aplicables, que hayan sido evaluados en materia del impacto ambiental por la Secretaría…”\nIII. Se instalen en zonas o parques industriales autorizados por la Secretaría en materia de impacto ambiental…”.","Requisitos para Manifestación de Impacto Ambiental e Informe Preventivo:\nTodos los documentos que a continuación se enlistan deberán adjuntarse en formatos: .PDF \nRequisitos para la evaluación en materia de impacto ambiental para el sector privado.\n1.	Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo en el cual se solicite la evaluación en materia de Impacto Ambiental.\n2.	Manifestación de impacto ambiental. \n3.	Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría. \n4.	Título de propiedad inscrito en el Registro Público que corresponda o del documento que acredite la posesión o el derecho para realizar las actividades que se pretenden, debidamente cotejado por esta Secretaría. \n5.	Licencia de uso de suelo para la totalidad de la superficie del proyecto, por el uso específico del caso y emitida por la Secretaría de Obras Públicas y Ordenamiento Territorial de Gobierno del Estado de Hidalgo, o en su caso por los municipios autorizados para tal efecto (Pachuca de Soto, Mineral de la Reforma, Zapotlán de Juárez, Tizayuca, Tulancingo de Bravo, Nopala de Villagrán, Omitlán de Juárez). \n6.	Opinión Técnica de Factibilidad en materia de protección civil u Opinión Técnica de Seguridad en materia de Protección Civil según corresponda, emitida por la Subsecretaría de Protección Civil y Gestión de Riesgos de Gobierno del Estado de Hidalgo. \n7.	 Planos debidamente firmados por el Director Responsable y Corresponsable registrado ante la SOPOT (vigente) y validados por la autoridad correspondiente (municipio, organismo operador del agua o CFE): \na. Topográfico con coordenadas UTM. \nb. De conjunto donde especifique cuadro de áreas \nc. Eléctrico \nd. De agua potable, alcantarillado sanitario y pluvial, descarga de aguas residuales\ne. Plano de áreas verdes del proyecto \n8.	 Factibilidades para el suministro de energía eléctrica, introducción de agua potable y alcantarillado sanitario, así como para la recolección de residuos sólidos urbanos.\n9.	 Mecánica de suelos.\n10.	Protesta de decir la verdad del contenido de la manifestación de impacto ambiental firmada por el promovente y por quien elaboró el estudio. \n\nRequisitos para la evaluación en materia de impacto ambiental para Obra Pública. \n1.	Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo en el cual se solicite la evaluación en materia de Impacto Ambiental. \n2.	Manifestación de impacto ambiental para obra pública. \n3.	Acreditación de la personalidad jurídica del promovente y de la persona autorizada para oír y recibir notificaciones, debidamente cotejadas. \n4.	Plano Topográfico con coordenadas UTM de los vértices del polígono firmado por el director Responsable y Corresponsable.\n\nRequisitos de Informe Preventivo para la Explotación de Bancos de Materiales Pétreos:\n\n1. Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo, en el cual se solicite la evaluación del Informe Preventivo.\n2. Estudio del Informe Preventivo de acuerdo a los términos de referencia establecidos por esta Secretaría. \n3. Acreditación legal de la personalidad jurídica del promovente, debidamente cotejada por esta Secretaría.\n4. Registro Público que corresponda o del documento que acredite la posesión o el derecho para realizar las actividades que se pretenden, debidamente cotejado por esta Secretaría.\n5. Constancia de viabilidad emitida por la Secretaría de Obras Públicas y Ordenamiento Territorial de Gobierno del Estado de Hidalgo cotejada por esta Secretaria.\n6. Opinión Técnica de Factibilidad en materia de protección civil u Opinión Técnica de Seguridad en materia de Protección Civil según corresponda, emitida por la Subsecretaría de Protección Civil y Gestión de Riesgos de Gobierno del Estado de Hidalgo.\n7. Planos debidamente firmados por el Director Responsable y Corresponsable registrado ante la SOPOT vigente: a. Topográfico con coordenadas UTM\nb. De conjunto donde especifique cuadro de áreas \n8. Estudio geológico, geotécnico de estabilidad de taludes.\n9. Escrito que avale la nula afectación por la operación del banco a casas-habitación e infraestructura de servicios existentes, firmado por el Delegado o Autoridad de la Localidad o Ejido.\nEn caso de que el proyecto se pretenda desarrollar en terrenos comunales o ejidales:\nActa de asamblea, mediante la cual se apruebe llevar a cabo el proyecto.\nEn caso de utilizar explosivos en las actividades relacionadas con la explotación de material pétreo, anexar: \nAutorización por parte de la Secretaría de la Defensa Nacional.\n\nEn caso de que el promovente del banco pétreo no sea dueño del predio\nConvenio de explotación entre el propietario del predio y el promovente, que contenga las cláusulas de responsabilidad compartida para la operación del banco pétreo, rescate y reubicación de la vegetación sujeta a desplazamiento y acciones de restauración, rehabilitación y compensación que apliquen.","Publicado","Trámite","Alta","De inicio",113.14,13546,"","De 60 a 120 días hábiles","De acuerdo a la naturaleza del proyecto",16,39
795,"Inscripción UTVM","Este trámite permite a los aspirantes que cumplieron los requisitos de admisión inscribirse en la UTVM para iniciar su formación profesional.","En formato digital PDF\n1.- Acta de nacimiento.\n2.- Certificado de bachillerato.\n3.- Cubrir pago de derechos.\n4.- CURP","Publicado","Trámite","Alta","Transaccional",1542,615,"Indefinido","1 día hábil","un cuatrimestre",4,7
796,"Reinscripción UTVM","Este trámite permite a los estudiantes activos renovar su inscripción para continuar con su formación académica.","1.- Ser estudiante activo\n2.- Cubrir pago de derechos.","Publicado","Trámite","Alta","Transaccional",1542,552,"Indefinido","1 día hábil","Un cuatrimestre",3,2
903,"Documentos de viaje internacional y asuntos migratorios (Visas)","Orientar y asesorar al solicitante en el trámite de documentos de viaje al extranjero.\n\nAsesorar a la población hidalguense, migrantes y sus familias sobre los procedimientos para la obtención de documentos legales que les permitan salir e ingresar a países extranjeros y asuntos migratorios diversos.\n\n","Pasaporte mexicano vigente (mínimo seis meses de vigencia).","Publicado","Trámite","Alta","Informativo",NA,2374,"1","30 días naturales","Anual",1,4
